cp_cod_estab,nm_estab,cnpj_estab,localizacao_estab,endereco_estab,UF_estab,cidade_estab
1,Estabelecimento 1,71464061621555,"{ -65.95933564145918, -60.69234844324089, 10.391740441224684, 86.77478559579097, 75.04291721763778, -49.73560185726529, 18.135527269604054, -51.89357659914213 }","Rua 1, 59",DQ,72803
2,Estabelecimento 2,42309800051369,"{ -70.31809870452831, 88.00329201289043, 12.34052591229242, 20.94022911898918, -1.9551812236489639, 56.949866840610156, 11.097109368358772, 88.12313693089203 }","Rua 2, 34",ED,74693
3,Estabelecimento 3,33599829460699,"{ 35.84614157846427, -50.653095467780645, -19.100731779526583, -12.754730719328464, -6.409602123301482, -70.5343993830826, 14.084904151005048, 34.95407370056128 }","Rua 3, 78",HY,40341
4,Estabelecimento 4,22223304567093,"{ -20.75410018890642, 40.87090866407058, 3.123600789172926, 19.53423211772032, -13.092830963687774, -25.66798778345664, -72.67343846362594, -61.83610633949414 }","Rua 4, 36",KG,49455
5,Estabelecimento 5,30090924119525,"{ -81.90122821366603, -39.80805621427348, 56.36504362032238, 46.92125015924927, -58.344119607199914, 21.324622328750436, -50.48990174711589, 79.95756880123619 }","Rua 5, 33",CT,29809
6,Estabelecimento 6,18631586489461,"{ -78.33007679846473, 38.34564553649594, 39.68958766860209, -0.837030162118154, -26.157626840578644, -52.54498360288734, -58.1631133665438, -52.71487561734041 }","Rua 6, 93",DQ,95441
7,Estabelecimento 7,10035664868807,"{ 44.87189527516921, -82.16193675793077, -66.78766866717498, -52.829977444145456, 13.335346211630352, -62.55917087568285, 62.30773059658, -29.376027728415103 }","Rua 7, 63",LZ,56522
8,Estabelecimento 8,86684847221108,"{ -74.19536897243673, 44.96121809822577, -56.18893442025487, 22.144980540992194, -14.784917074084902, -6.712064328002711, 74.72721896329455, -42.24435714947187 }","Rua 8, 76",CI,35788
9,Estabelecimento 9,50505618036186,"{ 17.666668548119887, 17.452318070963173, -65.15831412765587, 21.622784235601358, 72.48984662412127, -68.87604855788155, -42.89484568180396, -3.402612911481256 }","Rua 9, 71",TI,29227
10,Estabelecimento 10,41896589832509,"{ -14.6050880458032, 70.1616615206386, 68.53936303547192, 17.422920130433695, 69.23298185090769, 33.58704520284094, 83.39706159050266, -44.175113612972204 }","Rua 10, 64",GR,16491
