cp_cod_forn,cnpj_forn,localizacao_forn,endereco_forn,UF_forn,cidade_forn
1,64117471358484,"{ -52.050564257589336, 75.36632909816043, -26.308499792715438, -50.219717952729745, 23.343963859389277, 36.92058191509261, 2.074562026803079, 76.14002630807136 }","Rua 1, 45",QM,30817
2,24408099073841,"{ -60.73570417330717, 51.15207674446293, 75.37714137426778, -88.34022784682563, -25.249909307067384, -18.51279900686798, 67.85218681099425, -39.64104092497821 }","Rua 2, 15",CK,55215
3,66657804585736,"{ -87.61536159578375, 20.408035567968952, 66.31547569956626, 49.65876746386806, -57.57693202559038, -13.446896737526515, 12.57931002316937, -15.836435922109132 }","Rua 3, 42",ZQ,15377
4,79166090427169,"{ 18.465068074529214, 49.11322442782085, 73.54797981900776, 77.16002794378934, 7.153199411392421, -72.66414522680375, 54.14155141665907, 47.419898193572095 }","Rua 4, 35",XV,43738
5,28558390899835,"{ 75.59816984200816, 27.84383148077366, 10.687514546851574, -41.85837360150841, 14.463912016958218, -26.41541441077093, 34.34585196548795, -25.00863232986316 }","Rua 5, 10",QE,94316
6,38392470668290,"{ -31.31601076604266, 29.497512455495, 70.24826412980968, 11.43271540723211, -83.19992937669151, 24.56116534530149, 63.14827681805852, -61.001613211016654 }","Rua 6, 50",PC,50180
7,57439397272745,"{ -58.7243575325325, -26.58591560793907, 3.0572386058287577, -44.401364683154306, -12.89521274680979, -25.425902369279996, -28.1154173469398, -37.232801456434586 }","Rua 7, 79",KM,91789
8,92152251722544,"{ -35.412987101301695, 86.36002580013582, 26.960307390532776, 5.882772399963017, 63.900536223122884, -82.66382964844985, 12.454476936975666, 35.71921009128356 }","Rua 8, 86",EX,73015
9,24522182074552,"{ 17.96092496173054, -54.012305030608815, -63.134888269654304, 49.3960996111002, 65.71510416845607, 69.02824361596805, -22.511877566147447, -31.45235338982102 }","Rua 9, 90",BC,39078
10,13135334008818,"{ -57.62454238947002, 7.442430760112899, -83.77200288399516, -86.41858203328546, -33.8923473487172, 35.37516304887072, 77.62803581313105, -74.04260803183881 }","Rua 10, 69",HZ,31167
