cp_cod_estab,cp_id_produto,preco_venda,data_venda,itens_comprados
1,11,46.51,2024-12-31,"{5, 4, 4, 3, 7, 6}"
2,10,54.83,2025-01-14,"{9, 8, 8, 1, 7, 7, 5, 1, 8}"
3,9,49.28,2025-01-15,"{3, 7, 3, 9, 8, 5, 6}"
4,8,69.98,2024-12-20,"{2, 10, 7, 10, 6, 6, 1, 10, 9}"
5,7,2.43,2024-12-21,"{7, 7, 1, 4, 3, 5, 4}"
6,6,67.46,2024-12-24,"{3, 6, 10, 9, 1, 7, 8, 3, 5}"
7,5,36.81,2025-01-07,"{2, 1, 10, 10, 10, 2, 8, 4, 9}"
8,4,91.71,2024-12-27,"{6, 3}"
9,3,16.84,2025-01-07,"{8, 5, 1, 4, 8, 1, 1, 10, 3}"
10,2,44.73,2025-01-12,"{4, 7, 4, 3, 6, 2, 3}"
