cp_cod_estab,nm_estab,cnpj_estab,localizacao_estab,endereco_estab,UF_estab,cidade_estab
1,Estabelecimento 1,72404564540391,"{ -78.3113038654255, 40.11135030727394, -84.94452099648063, -76.39817776827161, -13.335861125234345, 57.56502024261104, -31.21724676432079, -15.071980480103377 }","Rua 1, 78",XG,44753
2,Estabelecimento 2,51893273000593,"{ 34.27456651446387, -3.365917074186669, -34.2068465535596, 45.53815530668268, -63.86544073287007, 26.068841355266017, -46.22448463472, -46.74536042682477 }","Rua 2, 44",SA,79034
3,Estabelecimento 3,18871059157089,"{ 66.8462506200963, -70.23619659650521, 67.23115187606325, 70.46031347677228, 9.514632566899138, -3.6778070458274215, -33.72308083543037, 25.825601524053553 }","Rua 3, 54",IB,15260
4,Estabelecimento 4,81629771730720,"{ 20.501550907249936, 69.18950233624435, -20.475315777696352, -43.75487626095749, 6.687091101087816, 54.04325690832914, -77.84568164852828, -28.61149408720174 }","Rua 4, 89",XX,72279
5,Estabelecimento 5,20429786415970,"{ 37.52671030486337, -49.44506975239568, 29.982951347641517, 74.19007008055951, -34.08570126448258, 86.9068498385991, 33.03430699537493, -42.69691160651671 }","Rua 5, 72",CN,68018
6,Estabelecimento 6,14629418227875,"{ -15.400861585174837, -82.4570861784799, 57.62412426589907, -68.34552350945958, -38.36668640274583, -0.6221729354168843, -55.254666125672614, 40.53921162572351 }","Rua 6, 74",KO,19695
7,Estabelecimento 7,23511728394786,"{ -52.49341787248289, 20.195359721565083, -41.59718614591115, -89.16544259651997, 48.04152721922955, 62.861740517055665, -85.01996574881345, -11.715003908684906 }","Rua 7, 20",ZV,32535
8,Estabelecimento 8,86115024933388,"{ 89.50159462176762, 80.1248675157373, -42.323511651440846, -47.97010585005963, -76.44586134471422, -16.924704716616603, -48.15898234152477, -0.18615135446503928 }","Rua 8, 31",MQ,52426
9,Estabelecimento 9,64344642076376,"{ 6.615118492545349, -15.119373707734823, 79.64557465075384, 80.62315146685069, -65.68400871554772, 42.144020907110445, -9.153498082280635, -10.970407859515348 }","Rua 9, 11",SG,70685
10,Estabelecimento 10,31159883904724,"{ 11.898979966349543, -50.9166781869331, 65.66950164414459, -84.8739972623076, -48.20389698300075, -10.965454211542664, 40.89056818580545, 17.54422121283656 }","Rua 10, 95",NL,79271
