cp_cod_forn,cnpj_forn,localizacao_forn,endereco_forn,UF_forn,cidade_forn
1,40325281550780,"{ -5.664818591806991, -19.98863319399922, -75.70030097863402, 88.38182084485445, -51.00015357440439, 60.07417258894645, 21.12071933627908, 48.71461467966839 }","Rua 1, 33",BT,85230
2,89677075938657,"{ 54.50937226081848, 56.03694823363662, 34.74267136326108, -84.54648848995978, 2.473488155288422, -19.800153523589216, -36.9443360054095, -70.69827918388188 }","Rua 2, 89",QE,31693
3,26625707393732,"{ 64.74646522829494, 5.245145353886841, -49.125232978402494, 2.7043147631259075, -65.02975209459598, 88.81450542711656, -11.422786826466563, 55.81827399441619 }","Rua 3, 20",FO,13672
4,85187138412580,"{ 72.52787612172403, 79.08331239834374, 38.278985736729396, -24.099754582684838, -74.51808150998735, 8.838590706695626, -13.249941480662855, 61.700089167800456 }","Rua 4, 38",PL,46826
5,95307852329142,"{ 0.16826681325891002, 4.897052425836762, 24.873969694992056, -65.79383312657416, -45.26930860287982, 56.92716719199396, -80.53982439613706, -27.55700832682207 }","Rua 5, 24",KI,47144
6,79794981899303,"{ -4.029343333155978, 62.52002019143336, 3.999788608139454, 3.193632586648633, -59.08817258408023, -24.323732128704094, 14.587872607501708, -83.7264829389511 }","Rua 6, 42",ZW,95630
7,58654941729062,"{ -26.84716875783201, -4.932011859491439, 72.53042739404353, 63.08504177792017, -17.968369541411477, 17.009025528878766, 24.748681826162155, -21.81094610576241 }","Rua 7, 36",US,45878
8,62143720744573,"{ -65.81106031381249, -39.07675092669407, -54.2298846548813, 36.57884294863058, -73.07474248833904, 29.821393281495077, -61.88757194857888, 45.06723842732549 }","Rua 8, 94",KP,80515
9,45510897704037,"{ 12.343617205098454, -56.065619155100116, 84.33605991611353, 39.4492063919036, -55.21999745316278, -45.811567075101756, 17.486672406644203, 8.544093112643097 }","Rua 9, 47",BM,98033
10,21194279763132,"{ -88.02151818981426, 67.64802178089894, -46.351358523864455, 55.709503830968714, -64.07752629243546, 68.2370819948174, 27.610162291430683, -12.91197926548979 }","Rua 10, 21",PQ,89016
