cp_id_produto,nm_prod,cd_ean_prod,ce_rfid,ce_categoria_principal,ce_categoria_secundaria,localizacao_prod,data_vencimento
1,Produto 1,441277533634,10,4,1,Prateleira 1,2025-07-12
2,Produto 2,752476401587,6,9,3,Prateleira 5,2025-09-26
3,Produto 3,763358953812,1,2,3,Prateleira 1,2025-11-07
4,Produto 4,491022626912,10,8,10,Prateleira 7,2025-08-16
5,Produto 5,188512882644,9,2,6,Prateleira 8,2025-03-17
6,Produto 6,539063510441,6,3,7,Prateleira 8,2025-08-18
7,Produto 7,553566979069,10,4,7,Prateleira 1,2025-05-12
8,Produto 8,732510252760,1,9,1,Prateleira 1,2025-05-27
9,Produto 9,154948712318,9,8,7,Prateleira 3,2025-09-25
10,Produto 10,325097208573,3,2,4,Prateleira 4,2025-11-28
