cp_cod_categoria,nm_categoria,min_distribuidor,max_distribuidor,min_container,max_container
1,Categoria 1,30,97,9,43
2,Categoria 2,36,64,15,47
3,Categoria 3,14,67,12,42
4,Categoria 4,14,51,9,36
5,Categoria 5,27,69,7,47
6,Categoria 6,43,85,18,36
7,Categoria 7,35,60,7,27
8,Categoria 8,46,58,10,34
9,Categoria 9,41,78,10,26
10,Categoria 10,33,61,9,32
11,Categoria 11,27,91,14,42
12,Categoria 12,12,75,15,29
13,Categoria 13,34,88,19,23
14,Categoria 14,26,61,7,40
15,Categoria 15,41,78,19,32
16,Categoria 16,30,74,13,50
17,Categoria 17,33,56,5,25
18,Categoria 18,19,54,20,21
19,Categoria 19,35,67,19,38
20,Categoria 20,22,98,20,41
21,Categoria 21,31,82,9,24
22,Categoria 22,12,55,14,32
23,Categoria 23,25,65,18,23
24,Categoria 24,26,60,6,39
25,Categoria 25,34,92,14,43
26,Categoria 26,12,69,20,38
27,Categoria 27,35,87,9,45
28,Categoria 28,47,78,9,29
29,Categoria 29,24,89,9,44
30,Categoria 30,28,58,15,32
31,Categoria 31,45,87,15,34
32,Categoria 32,33,81,18,31
33,Categoria 33,42,90,9,48
34,Categoria 34,34,66,12,44
35,Categoria 35,50,50,7,25
36,Categoria 36,13,100,16,21
37,Categoria 37,34,75,18,47
38,Categoria 38,38,89,13,42
39,Categoria 39,41,66,7,49
40,Categoria 40,41,60,15,21
41,Categoria 41,49,93,13,42
42,Categoria 42,30,56,20,47
43,Categoria 43,24,64,13,44
44,Categoria 44,31,54,15,28
45,Categoria 45,19,92,19,32
46,Categoria 46,33,87,5,28
47,Categoria 47,32,74,6,29
48,Categoria 48,15,69,13,31
49,Categoria 49,44,91,19,46
50,Categoria 50,27,83,13,36
