cp_id_produto,nm_prod,cd_ean_prod,ce_rfid,ce_categoria_principal,ce_categoria_secundaria,localizacao_prod,data_vencimento
1,Produto 1,467343602643,4,16,19,Prateleira 7,2025-06-21
2,Produto 2,170468187984,3,9,21,Prateleira 6,2025-08-20
3,Produto 3,528071980805,2,20,8,Prateleira 8,2025-09-08
4,Produto 4,168472228635,3,8,7,Prateleira 1,2025-12-30
5,Produto 5,402064381180,9,18,10,Prateleira 3,2025-08-28
6,Produto 6,115746762266,10,5,16,Prateleira 9,2026-01-02
7,Produto 7,670493557644,2,22,6,Prateleira 9,2025-02-25
8,Produto 8,516866430047,3,6,10,Prateleira 3,2025-04-28
9,Produto 9,247507021798,3,22,21,Prateleira 7,2025-06-06
10,Produto 10,673542566690,4,21,14,Prateleira 2,2025-02-27
11,Produto 11,290274558566,3,6,14,Prateleira 2,2025-02-21
12,Produto 12,369772543366,1,11,4,Prateleira 4,2025-04-04
13,Produto 13,702588131431,7,7,7,Prateleira 5,2025-03-05
14,Produto 14,288684203749,3,15,17,Prateleira 8,2025-04-06
15,Produto 15,962770892139,6,2,7,Prateleira 2,2025-05-04
16,Produto 16,737635184928,5,14,22,Prateleira 1,2025-07-25
17,Produto 17,391355738192,5,25,24,Prateleira 2,2025-02-28
18,Produto 18,828357631771,9,12,10,Prateleira 2,2025-10-05
19,Produto 19,779176001866,9,3,25,Prateleira 10,2025-11-14
20,Produto 20,174799160427,1,8,12,Prateleira 9,2025-08-06
21,Produto 21,646626522458,5,5,10,Prateleira 7,2025-05-09
22,Produto 22,353316301911,3,12,23,Prateleira 2,2025-02-22
23,Produto 23,154334665766,5,18,23,Prateleira 6,2025-11-22
24,Produto 24,640345516167,7,15,12,Prateleira 10,2025-12-10
25,Produto 25,538147676995,1,20,13,Prateleira 8,2025-05-30
26,Produto 26,342943562992,1,23,8,Prateleira 5,2025-11-20
27,Produto 27,452837043455,10,5,1,Prateleira 8,2025-03-07
28,Produto 28,253994464971,7,24,7,Prateleira 2,2025-12-27
29,Produto 29,740549977448,8,5,8,Prateleira 1,2025-02-27
30,Produto 30,858587245679,6,16,18,Prateleira 3,2025-06-07
31,Produto 31,759755135470,9,16,16,Prateleira 5,2025-04-16
32,Produto 32,222523592442,5,2,6,Prateleira 10,2025-06-10
33,Produto 33,287597082684,3,22,20,Prateleira 6,2025-08-17
34,Produto 34,127824703260,10,25,15,Prateleira 3,2026-01-01
35,Produto 35,590593147404,5,4,13,Prateleira 7,2025-10-30
36,Produto 36,394026931180,7,2,7,Prateleira 1,2025-09-12
37,Produto 37,324658879330,4,20,12,Prateleira 3,2025-06-12
38,Produto 38,477083084289,4,1,12,Prateleira 9,2025-10-27
39,Produto 39,961508123093,5,13,22,Prateleira 7,2025-02-27
40,Produto 40,310165419979,1,13,24,Prateleira 8,2025-07-21
41,Produto 41,321544418216,1,4,15,Prateleira 6,2025-03-13
42,Produto 42,625086459173,8,5,15,Prateleira 7,2025-11-20
43,Produto 43,545861616633,9,11,20,Prateleira 8,2025-08-31
44,Produto 44,391809123223,10,16,5,Prateleira 7,2025-08-17
45,Produto 45,781370410441,3,15,12,Prateleira 2,2025-04-16
46,Produto 46,473573195436,7,8,4,Prateleira 5,2025-05-10
47,Produto 47,644455863745,1,20,2,Prateleira 8,2025-11-19
48,Produto 48,163241027038,8,24,22,Prateleira 1,2025-05-26
49,Produto 49,449290128891,4,9,1,Prateleira 7,2025-04-22
50,Produto 50,379989713407,1,14,5,Prateleira 9,2025-09-19
