rodada,query,tempo_execucao_sem_index,tempo_execucao_com_index
1,1,9.836.673.736.572.260,0.0
1,2,0.0,0.0
1,3,0.0,0.0
1,4,0.0,61.244.964.599.609.300
1,5,500.941.276.550.293,0.0
1,6,5.007.028.579.711.910,0.0
1,7,4.148.244.857.788.080,0.0
1,8,0.0,0.0
1,9,4.467.964.172.363.280,0.0
1,10,9.849.071.502.685.540,37.796.497.344.970.700
1,11,0.0,0.0
1,12,25.305.747.985.839.800,7.958.412.170.410.150
1,13,0.0,0.0
1,14,0.0,1.033.782.958.984.370
1,15,10.027.408.599.853.500,0.0
1,16,736.236.572.265.625,10.020.732.879.638.600
1,17,2.733.945.846.557.610,16.415.119.171.142.500
1,18,0.0,0.0
1,19,18.002.986.907.958.900,27.768.611.907.958.900
1,20,7.479.190.826.416.010,10.094.642.639.160.100
1,21,0.0,15.749.931.335.449.200
1,22,0.0,9.543.895.721.435.540
1,23,4.189.491.271.972.650,11.990.070.343.017.500
1,24,0.0,1.020.669.937.133.780
1,25,0.0,10.058.879.852.294.900
1,26,0.0,9.989.738.464.355.460
1,27,0.0,9.999.275.207.519.530
1,28,5.082.130.432.128.900,9.980.201.721.191.400
1,29,21.791.458.129.882.800,9.987.354.278.564.450
1,30,0.0,0.0
1,31,15.158.653.259.277.300,0.0
1,32,52.642.822.265.625,0.0
1,33,38.878.917.694.091.700,0.0
1,34,0.0,0.0
1,35,0.0,0.0
1,36,9.119.987.487.792.960,5.044.221.878.051.750
1,37,11.568.069.458.007.800,0.0
1,38,0.0,2.253.293.991.088.860
1,39,7.035.732.269.287.100,10.266.304.016.113.200
1,40,0.0,9.970.664.978.027.340
1,41,0.0,0.0
1,42,3.896.474.838.256.830,0.0
1,43,1.299.142.837.524.410,13.363.361.358.642.500
1,44,0.0,0.0
1,45,0.0,0.0
1,46,0.0,0.0
1,47,0.0,7.336.139.678.955.070
1,48,0.0,0.0
1,49,0.0,0.0
1,50,76.198.577.880.859.300,5.102.872.848.510.740
1,51,0.0,16.143.321.990.966.700
1,52,15.909.671.783.447.200,10.344.982.147.216.700
1,53,4.055.500.030.517.570,9.596.347.808.837.890
1,54,7.338.523.864.746.090,10.170.936.584.472.600
1,55,5.531.311.035,10.144.710.540.771.400
2,1,0.0,0.0
2,2,0.0,10.476.112.365.722.600
2,3,0.0,0.0
2,4,0.0,0.0
2,5,0.0,0.0
2,6,6.382.465.362.548.820,2.427.816.390.991.210
2,7,0.0,0.0
2,8,0.0,10.142.326.354.980.400
2,9,0.0,9.987.354.278.564.450
2,10,0.0,150.299.072.265.625
2,11,0.0,16.787.052.154.541.000
2,12,0.0,11.639.595.031.738.200
2,13,0.0,0.0
2,14,0.0,0.0
2,15,0.0,0.0
